epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5743,1.51133,1.77818,1.17979,0.68539,0.65449,0.7137,0.39444,1.49542,1.48647,1.21379,0.000553444,0.000553444,0.000553444
2,66.3157,1.43742,1.1407,1.1599,0.82364,0.69878,0.79049,0.4427,1.50052,1.13351,1.24236,0.00110179,0.00110179,0.00110179
3,97.6112,1.44632,1.05335,1.17033,0.84017,0.73599,0.82444,0.48438,1.43851,0.94096,1.20803,0.0016428,0.0016428,0.0016428
4,128.833,1.42128,0.97093,1.15744,0.83468,0.74693,0.82311,0.49072,1.41012,0.88562,1.20171,0.00163399,0.00163399,0.00163399
5,160.442,1.38239,0.91455,1.15008,0.86361,0.77571,0.86271,0.52772,1.35886,0.8304,1.17435,0.00162299,0.00162299,0.00162299
6,191.244,1.38222,0.88746,1.15163,0.87248,0.7942,0.87651,0.54696,1.32483,0.78472,1.15455,0.00161199,0.00161199,0.00161199
7,222.408,1.35702,0.85755,1.14201,0.89606,0.81591,0.89026,0.52995,1.39461,0.83049,1.1896,0.00160099,0.00160099,0.00160099
8,253.356,1.36692,0.8607,1.14012,0.88161,0.79241,0.88264,0.5497,1.32474,0.75957,1.16215,0.00158998,0.00158998,0.00158998
9,284.249,1.34279,0.82052,1.13189,0.8884,0.81729,0.89115,0.55295,1.3416,0.74517,1.17018,0.00157898,0.00157898,0.00157898
10,315.194,1.33356,0.80556,1.11992,0.88242,0.80058,0.87683,0.53325,1.36284,0.78216,1.17767,0.00156798,0.00156798,0.00156798
11,346.776,1.3209,0.79854,1.12502,0.89923,0.81362,0.89278,0.56425,1.29947,0.7092,1.14956,0.00155698,0.00155698,0.00155698
12,378.083,1.32821,0.7932,1.12157,0.89355,0.83327,0.9021,0.55712,1.31456,0.71637,1.15597,0.00154598,0.00154598,0.00154598
13,409.098,1.31557,0.77679,1.11535,0.9094,0.83163,0.91073,0.57324,1.30317,0.69459,1.14864,0.00153497,0.00153497,0.00153497
14,439.789,1.31601,0.77569,1.11849,0.90363,0.82714,0.8967,0.56509,1.32662,0.71074,1.15941,0.00152397,0.00152397,0.00152397
15,470.395,1.29621,0.7614,1.10534,0.91019,0.82666,0.90832,0.57435,1.31179,0.68562,1.16687,0.00151297,0.00151297,0.00151297
16,500.892,1.29074,0.75173,1.10878,0.90008,0.8294,0.90958,0.56932,1.31874,0.6764,1.16149,0.00150197,0.00150197,0.00150197
17,531.503,1.30225,0.74856,1.10673,0.90163,0.84839,0.91291,0.57432,1.30225,0.67183,1.14024,0.00149096,0.00149096,0.00149096
18,562.159,1.28582,0.73974,1.1046,0.91207,0.83657,0.90889,0.58224,1.28523,0.66619,1.14566,0.00147996,0.00147996,0.00147996
19,592.65,1.2864,0.73635,1.10826,0.90439,0.84835,0.9149,0.58419,1.27713,0.64376,1.13276,0.00146896,0.00146896,0.00146896
20,623.25,1.2778,0.71717,1.09578,0.90466,0.8568,0.91697,0.5892,1.28173,0.64198,1.14636,0.00145796,0.00145796,0.00145796
21,654.262,1.28377,0.72113,1.09715,0.90179,0.841,0.91279,0.57714,1.28686,0.67167,1.14255,0.00144696,0.00144696,0.00144696
22,685.505,1.26141,0.71188,1.08925,0.88458,0.85849,0.90393,0.58111,1.27665,0.64617,1.13881,0.00143595,0.00143595,0.00143595
23,716.591,1.27087,0.71522,1.09452,0.90654,0.83772,0.90988,0.58597,1.28358,0.64349,1.14362,0.00142495,0.00142495,0.00142495
24,747.97,1.26931,0.6987,1.09249,0.90247,0.86104,0.91455,0.58865,1.27459,0.62235,1.13718,0.00141395,0.00141395,0.00141395
25,778.849,1.2535,0.69132,1.09014,0.913,0.84848,0.91626,0.59749,1.2617,0.62099,1.13177,0.00140295,0.00140295,0.00140295
26,810.07,1.25913,0.69037,1.08719,0.91205,0.85027,0.91984,0.58974,1.28255,0.6241,1.14433,0.00139195,0.00139195,0.00139195
27,840.921,1.26056,0.69916,1.09034,0.90374,0.86073,0.91994,0.58764,1.26674,0.61436,1.13793,0.00138094,0.00138094,0.00138094
